ID,NAME,CITY,STATE,MERGER RESULT ID,MERGED NAME,MERGED CITY,MERGED STATE
6741969,Doctors Hospital Parkway,Houston,TX,6740413,Doctor's Hospital - Tidwell,Houston,TX
6749310,Doctors Hospital-Tidwell,Houston,TX,6740413,Doctor's Hospital - Tidwell,Houston,TX
6740051,North Central Baptist,San Antonio,TX,6740415,Baptist Health System,San Antonio,TX
6743005,Baptist Medical Canter,San Antonio,TX,6740415,Baptist Health System,San Antonio,TX
6743010,Northeast Baptist Hospital,San Antonio,TX,6740415,Baptist Health System,San Antonio,TX
6743015,Southeast Baptist Hospital,San Antonio,TX,6740415,Baptist Health System,San Antonio,TX
6743035,St Luke's Baptist Hospital,San Antonio,TX,6740415,Baptist Health System,San Antonio,TX
6930387,Eden Hospital,Castro Valley,CA,6930133,Eden Medical Center,Castro Valley,CA
6933258,San Leandro Hospital,San Leandro,CA,6930133,Eden Medical Center,Castro Valley,CA
6140645,Brockton VA Medical Center,Brockton,MA,6140570,Veterans Affairs Boston System,Boston,MA
6220760,Columbus Hospital,Newark,NJ,6220890,St Michael's Medical Center,Newark,NJ
6390195,North Ridge Medical Center,Fort Lauderdale,FL,6390230,Holy Cross Hospital,Fort Lauderdale,FL
6390260,Shands AGH,Gainesville,FL,6390283,Shands at the Univ of Florida,Gainesville,FL
6390271,Shands Rehab Hospital,Gainesville,FL,6390283,Shands at the Univ of Florida,Gainesville,FL
6390013,Jackson North Medical,North Miami Beach,FL,6390573,Jackson Health System,Miami,FL
6390560,Jackson South Comm,Miami,FL,6390573,Jackson Health System,Miami,FL
6441675,Michigan Ortho Specialty,Madison Heights,MI,6440027,Harper University Hospital,Detroit,MI
6631125,SSM Rehab,St Louis,MO,6630995,SSM St Mary's Health Center,St Louis,MO
6660365,Rchard H Young Hospital,Kearney,NE,6660002,Good Samaritan Health Systems,Kearney,NE
6720455,St Francis North Hospital,Monroe,LA,6720460,St Francis Medical Center,Monroe,LA
6730106,St Francis Hospital South,Broken Arrow,OK,6731215,St Francis Hospital,Tulsa,OK
6740229,Cornerstone Hosp of,Webster,TX,6740079,Cornerstone Hosp of Houston,Houston,TX
6740081,Las Palmas Rehab Hospital,El Paso,TX,6741315,Las Palmas Medical Center,El Paso,TX
6741455,Baylor Medical Center,Fort Worth,TX,6741390,Baylor All Saints Medical Center,Fort Worth,TX
6741952,Memorial Hermann NW,Houston,TX,6741950,Mem Hermann Southwest Hospital,Houston,TX
6850270,Carrie Tingley Hospital,Albuquerque,NM,6850037,University of New Mexico Hospitals,Albuquerque,TX
6930800,University Medical Center,Fresno,CA,6930790,Community Regional Med Center,Fresno,CA
6931788,Eastern Plumas Health,Loyalton,CA,6932470,Eastern Plumas Dist Hospital,Portola,CA
6933386,Rehab Inst at Santa Barbara,Santa Barbara,CA,6933375,Santa Barbara Cottage Hospital,Santa Barbara,CA
