ID,HOSPITAL NAME,CITY,STATE,REASON FOR ADDITION
6040374,Professional Hospital Guaynabo,Guaynabo,PR,Newly added
6130379,Vermont Psychiatric Care Hospital,Berlin,VT,Newly added
6140218,Dr. Solomon Carter Fuller Mental Health Center,Boston,MA,Newly added
6140219,Cape Cod & Island Community Mental Health Center,Pocasset,MA,Newly added
6140459,Southcoast Behavioral Health,Dartmouth,MA,Newly added
6210266,Terence Cardinal Cooke Health Care Center,New York,NY,Newly added
6210511,Kirby Forensic Psychiatric Center,New York,NY,Newly added
6220448,Columbus Hospital LTACH,Newark,NJ,Newly added
6220472,Northbrook Behavioral Health Hospital,Blackwood,NJ,Newly added
6220475,Hudson County Meadowview Psychiatric Hospital,Secaucus,NJ,Newly added
6220478,CareOne at Hacksensack University Medical Center at Pascack Valley,Westwood,NJ,Newly added
6229151,CareOne at Trinitas Regional Medical Center,Elizabeth,NJ,Newly added
6230288,Lancaster Rehabilitation Hospital,Lancaster,PA,Newly added
6230294,Roxbury Treatment Center,Shippensburg,PA,Newly added
6230497,Haven Behavioral Hospital of Eastern Pennsylvania,Reading,PA,Newly added
6230504,Barix Clinics of Pennsylvania,Langhorne,PA,Newly added
6230506,Kirkbride Center,Philadelphia,PA,Newly added
6230552,St. Luke's Monroe,Stroudsburg,PA,Newly added
6230554,PAM Specialty Hospital of Wilkes-Barre,Wilkes Barre,PA,Newly added
6230557,Haven Behavioral Hospital of Philadelphia,Philadelphia,PA,Newly added
6230561,Reading Hospital Rehabilitation at Wyomissing,Wyomissing,PA,Newly added
6230562,St. Mary Rehabilitation Hospital,Langhorne,PA,Newly added
6310390,HEALTHSOUTH Rehabilitation Hospital of Middletown,Middletown,DE,Newly added
6340234,Select Specialty Hospital Hampton Roads,Newport News,VA,Newly added
6349171,Hiram W. Davis Medical Center,Petersburg,VA,Newly added
6369139,Carolinas ContinueCARE Hospital at University,Charlotte,NC,Newly added
6370195,South Carolina Department of Corrections Hospital,Columbia,SC,Newly added
6379102,Rebound Behavioral Health,Lancaster,SC,Newly added
6380508,Lakeview Behavioral Health,Norcross,GA,Newly added
6390406,Wekiva Springs,Jacksonville,FL,Newly added
6390423,Eastside Psychiatric Hospital,Tallahassee,FL,Newly added
6399257,Orlando VA Medical Center,Orlando,FL,Newly added
6410294,Ohio Valley Surgical Hospital,Springfield,OH,Newly added
6410296,Surgical Hospital at Southwoods,Youngstown,OH,Newly added
6410505,The Woods at Parkside,Gahanna,OH,Newly added
6410521,Access Hospital Dayton,Dayton,OH,Newly added
6410525,Ridgeview Behavioral Hospital,Middle Point,OH,Newly added
6410526,Beckett Springs,West Chester,OH,Newly added
6410564,UH Rehabilitation Hospital,Beachwood,OH,Newly added
6410568,Rehabilitation Hospital of Northwest Ohio,Toledo,OH,Newly added
