ID,HOSPITAL NAME,CITY,STATE,REASON FOR ADDITION
6040349,INSPIRA Ponce,Ponce,PR,Newly Added
6040382,Metropolitano De La Montana,Utuado,PR,Newly Added
6060346,Guam Regional Medical City,Dededo,GU,Newly Added
6360449,Hoke Hospital,Raeford,NC,Newly Added
6389230,Rehabilitation Hospital of Savannah,Savannah,GA,Newly Added
6410563,UH Avon Rehabilitation Hospital,Avon,OH,Newly Added
6410566,Cleveland Clinic Avon Hospital,Avon,OH,Newly Added
6430474,Memorial Hospital East,Shiloh,IL,Newly Added
6450501,UW Health Rehabilitation Hospital,Madison,WI,Newly Added
6510443,ContinueCARE Hospital at Madisonville,Madisonville,KY,Newly Added
6519071,ContinueCARE Hospital at Baptist Health Paducah,Paducah,KY,Newly Added
6520482,HEALTHSOUTH Rehabilitation Hospital of Franklin,Franklin,TN,Newly Added
6719166,Baptist Health Medical Center ‐ Conway,Conway,AR,Newly Added
6740174,Cross Creek Hospital,Austin,TX,Newly Added
6741051,Oceans Behavioral Hospital San Marcos,San Marcos,TX,Newly Added
6741059,First Texas Hospital,Carrollton,TX,Newly Added
6741062,First Baptist Medical Center,Dallas,TX,Newly Added
6741064,ContinueCARE Hospital at Medical Center (Odessa),Odessa,TX,Newly Added
6741071,Baylor Emergency Medical Centers ‐ Rockwall,Rockwall,TX,Newly Added
6741072,Baylor Emergency Medical Centers ‐ Burleson,Burleson,TX,Newly Added
6741092,Garland Behavioral Hospital,Garland,TX,Newly Added
6741093,Kate Dishman Rehabilitation Hospital,Beaumont,TX,Newly Added
6741094,Providence Hospital of North Houston,Houston,TX,Newly Added
6741101,Warm Springs Rehabilitation Hospital of Kyle,Kyle,TX,Newly Added
6741102,Altus Baytown Hospital,Baytown,TX,Newly Added
6741104,San Antonio Behavioral Healthcare Hospital,San Antonio,TX,Newly Added
6741106,Sun Behavioral Houston,Houston,TX,Newly Added
6742040,University of Texas Harris County Psychiatric Center,Houston,TX,Previously listed as registered
6860049,Select Specialty Hospital‐Phoenix Downtown,Phoenix,AZ,Newly Added
6869157,Cobalt Rehabilitation Hospital,Surprise,AZ,Newly Added
6870397,Northern Utah Rehabilitation Hospital,South Ogden,UT,Newly Added
6880011,Carson Tahoe Continuing Care Hospital,Carson City,NV,Newly Added
6889102,Desert Parkway Behavioral Healthcare Hospital,Las Vegas,NV,Newly Added
6910690,Cascade Behavioral Hospital,Tukwila,WA,Newly Added
6930677,Temecula Valley Hospital,Temecula,CA,Newly Added
6930679,Hoag Orthopedic Institute,Irvine,CA,Newly Added
6930682,Central Valley Specialty Hospital,Modesto,CA,Newly Added
6930707,Kaiser Permanente San Leandro Medical Center,San Leandro,CA,Newly Added
6930731,San Jose Behavorial Health,San Jose,CA,Newly Added
