ID,HOSPITAL NAME,CITY,STATE,REASON FOR ADDITION
6110367.0,Lincoln Health  ,Damariscotta,ME,Merger result - 6110160 and 6110220
6110378.0,Southern Maine Health Care Biddeford Medical  ,Biddeford,ME,Merger result - 6110140 and 6110520
6360018.0,Carolinas Medical Center-Pineville ,Charlotte,NC,Newly added to the registered file
6360427.0,Blue Ridge Healthcare Hospitals  ,Morganton,NC,Merger result - 6361020 and 6361500
6380486.0,Phoebe Putney Memorial Hospital  ,Albany,GA,Merger result - 6380010 and 6380025
6410531.0,West Chester Hospital  ,West Chester,OH,Merger result - 6410072 and 6410077
6610451.0,Mayo Clinic Hospital - Rochester  ,Rochester,MN,Merger result - 6611483 and 6611490
6630467.0,SSM Select Rehabilitation Hospital ,Heights,MO,Newly added to the registered file
6740306.0,Select Specialty Hospital-Midland ,Midland,TX,Newly added to the registered file
6740663.0,Baylor Institute for Rehabilitation at Frisco ,Frisco,TX,Previously nonregistered
6740920.0,Lakeway Regional Medical Center ,Lakeway,TX,Previously nonregistered
6860263.0,Banner Goldfield Medical Center ,Apache Junction,AZ,Newly added to the registered file
6910401.0,PeaceHealth Peace Island Medical Center ,Friday Harbor,WA,Newly added to the registered file
