ID,HOSPITAL NAME,CITY,STATE,REASON FOR DELETION
6140014.0,Curahealth Hospital Boston,Brighton,MA,Closed
6141670.0,Curahealth Boston North Shore,Peabody,MA,Closed
6150001.0,Memorial Hospital of Rhode Island,Pawtucket,RI,Closed
6160015.0,Wellspring Foundation,Bethlehem,CT,Residential Treatment Facility
6210400.0,New York-Presbyterian/Lawrence Bronxville,Hospital,NY,Unit of 6210024 New York-Presbyterian Hospital - New
6214612.0,TLC Health Network - Lake Shore Irving,Hospital,NY,"Unit of 6211470 Brooks Memorial Hospital - Dunkirk, NY"
6214950.0,Moses Ludington Hospital,Ticonderoga,NY,Unit of 6211490 The University of Vermont Health
6221270.0,Runnells Center for Rehabilitation Berkeley Heights and,Healthcare,NJ,Nursing Facility
6320417.0,Warwick Manor Behavioral Health East New,Market,MD,Psychiatric Facility
6341136.0,Pioneer Community Hospital of Stuart,Patrick,VA,Closed
6349040.0,Woodrow Wilson Rehabilitation Fishersville,Center,VA,Ambulatory Care Facility
6360710.0,FirstHealth Moore Regional Hospital Hamlet -,Hamlet,NC,Closed
6361363.0,Our Community Hospital Scotland,Neck,NC,Closed
6380031.0,Select Specialty Hospital-Atlanta,Atlanta,GA,Closed
6380039.0,Select Specialty Hospital - Northeast Atlanta,Atlanta,GA,Closed
6380464.0,Chestatee Regional Hospital,Dahlonega,GA,Closed
6390211.0,Atlantic Shores Hospital Fort,Lauderdale,FL,Closed
6390281.0,Campbellton Graceville Hospital,Graceville,FL,Closed
6390508.0,Fishermen's Hospital,Marathon,FL,Temporarily Closed
6410056.0,Kindred Hospital of Central Ohio,Mansfield,OH,Closed
6411550.0,Oakwood Correctional Facility,Lima,OH,Closed
6411670.0,Affinity Medical Center,Massillon,OH,Closed
6420013.0,Kindred Hospital Indianapolis South,Greenwood,IN,Closed
6420035.0,Kindred Hospital of Northern Indiana,Mishawaka,IN,Closed
6430435.0,RML Specialty Hospital,Chicago,IL,"Unit of 6431925 RML Specialty Hospital - Hinsdale, IL"
6440028.0,Great Lakes Specialty Hospital- Grand Rapids Grand,Rapids,MI,Closed
6440042.0,Kindred Hospital Detroit,Detroit,MI,Closed
6441178.0,Spectrum Health Special Care Grand Rapids,Hospital,MI,Closed
6510100.0,NorthKey Community Care,Covington,KY,Psychiatric Facility
6510180.0,Ireland Army Community Hospital Fort,Knox,KY,Ambulatory Care Facility
6510450.0,Shriners Hospitals for Children- Lexington,Lexington,KY,Ambulatory Surgical Facility
6520033.0,Select Specialty Hospital-Knoxville,Knoxville,TN,Unit of 6520034 Select Specialty Hospital-North Knoxville
6520213.0,Copper Basin Medical Center,Copperhill,TN,Closed
6520410.0,Tennova Healthcare Regional Jackson Hospital of,Jackson,TN,Unit of 6524010 West Tennessee Healthcare North
6520655.0,Peninsula Hospital,Louisville,TN,"Unit of 6520530 Parkwest Medical Center - Knoxville, TN"
6530535.0,RMC Jacksonville,Jacksonville,AL,Closed
