ID,REASON FOR DELETION,HOSPITAL NAME,CITY,STATE
6040130,Closed,Mepsi Center,Bayamon,PR
6140815,Closed,Lawrence F Quigley Mem Hosp,Chelsea,MA
6142130,Merged into 6141890*,Hubbard Regional Hospital,Webster,MA
6210635,Closed,Mary Immaculate Hospital,Jamaica,NY
6210940,Closed,Victory Memorial Hospital,Brooklyn,NY
6211135,Status changed from registered to nonregistered,St Joseph Hospital,Cheektowaga,NY
6211616,Closed,Parkway Hospital,Flushing,NY
6211630,Closed,Albert Lindley Lee Mem Hosp,Fulton,NY
6212905,Closed,St Vincent's Midtown Hospital,New York,NY
6214540,Merged into 6214560*,Bellevue Woman's Hospital,Schenectady,NY
6214565,Merged into 6214560*,St Clare's Hosp of Schenectady,Schenectady,NY
6220373,Closed,William B Kessler Mem Hospital,Hammonton,NJ
6221050,Closed,PBI Regional Medical Center,Passaic,NJ
6221160,Closed,Muhlenberg Reg Med Center,North Plainfield,NJ
6230048,Dissolution*,Susquehanna Health,Williamsport,PA
6370350,Outpatient facility,W J Barge Memorial Hospital,Greenville,SC
6390077,Merged into 6399240*,Kindred Hospital-Bay Area,Saint Petersburg,FL
6390238,Status changed from registered to nonregistered,Southwest Florida Reg Med Ctr,Fort Myers,FL
6390535,Merged into 6399040*,Kindred Hospital-Coral Gables,Coral Gables,FL
6410029,Merged into 6411180*,Dayton Heart Hospital,Dayton,OH
6411070,Merged into 6411100*,Ohio State University Hospital,Columbus,OH
6412045,Merged into 6412050*,Mercy Medical Center,Springfield,OH
6419175,Closed,Affinity Medical Center,Massillon,OH
6420034,Merged/closed into 6420075*,Seton Specialty Hospital,Carmel,IN
6420635,Merged into 6420715*,St Vincent Women's Hospital,Indianapolis,IN
6520505,Merged/closed into 6520550*,Baptist Hosp of East Tennessee,Knoxville,TN
6530165,Closed,Physicians Medical Center,Birmingham,AL
6660008,Closed,Select Specialty Hosp-Omaha,Papillion,NE
6740032,Closed,HEALTHSOUTH Medical Center,Dallas,TX
6740072,Hospice (not operating as a hospital),Christopher House,Austin,TX
6740352,Merged/closed into 6740058*,RehabCare Rehab Hospital,Midland,TX
6740590,Merged into 6742778*,East Houston Regional Med Ctr,Houston,TX
6741345,Closed,Sierra Physical Rehab Hosp,El Paso,TX
6742105,Closed,Memorial Hermann Hospital,Houston,TX
6742540,Closed,Desert Springs Medical Center,Midland,TX
6742625,Merged into 6743120*,McKenna Memorial Hospital,New Braunfels,TX
6840945,Outpatient facility,U S Air Force Academy Hospital,USAF Academy,CO
6910625,Closed,Group Health Eastside Hospital,Redmond,WA
6931783,Status changed from registered to nonregistered,Comm Hospital of Los Gatos,Los Gatos,CA
6931880,Merged with 6933945 to form 6930144*,Rideout Memorial Hospital,Marysville,CA
6932215,Closed,Irvine Regional Hosp & Med Ctr,Irvine,CA
6933550,Closed,Tuolumne General Hospital,Sonora,CA
6933945,Merged with 6931880 to form 6930144*,Fremont Medical Center,Yuba City,CA
