ID,REASON FOR ADDITION,HOSPITAL NAME,CITY,STATE
6220440,from registered to nonregistered,LibertyHealth-Greenville Hosp,Jersey City,NJ
6230056,from registered to nonregistered,Temple Univ Children's Med Center,Philadephia,PA
6350670,from registered to nonregistered,Richwood Area Comm Hosp,Richwood,WV
6370200,from registered to nonregistered,South Carolina State Hospital,Columbia,SC
6370320,Reopened,Greenville General Hospital,Greenville,SC
6410072,Newly added,University Pointe Surg Hosp,West Chester,OH
6420008,Demerger form 6420005,Community Hosp of Anderson,Anderson,IN
6420023,Demerger,Community Hosp North,Indianapolis,IN
6420029,Newly added,St Francis Hosp and Health Centers,Indianapolis,IN
6420067,Newly added,Hind General Hospital,Hobart,IN
6420068,Newly added,Monroe Hospital,Bloomington,IN
6420069,Newly added,Otis R Bowen Center,Warsaw,IN
6430029,Reopened,Kindred Chicago Lakeshore,Chicago,IL
6430031,Newly added,Maryville Scott Nolan Center,Des Plaines,IL
6440230,Demerged from 6440215,Lakeland Spec Hospital-Berrien Center,Berrien Center,MI
6530025,Newly added,Jack Hughston Memorial Hosp,Phenix City,AL
6540003,from registered to nonregistered,Gulf Coast Medical Center,Biloxi,MS
6540026,Reopened,Select Specialty Hosp-Biloxi,Biloxi,MS
6540380,Reopened,Charter Behavioral Health System,Jackson,MS
6549100,Reopened,Greene County Hospital & ECF,Leakesville,MS
6610026,Newly added,Comm Behavioral Health Hosp,Wadena,MN
6610027,Newly added,Comm Behavioral Health Hosp,Baxter,MN
6610028,Newly added,Comm Behavioral Health Hosp,Cold Spring,MN
6630037,Newly added,Iron County Hospital,Pilot Knob,MO
6630041,Newly added,St John's Mercy Rehab Hospital,Chesterfield,MO
6630042,Newly added,Landmark Hospital of Joplin,Joplein,MO
6720207,Newly added,Calcasieu Oaks Ger Psych Hosp,Lake Charles,LA
6730077,Newly added,Oklahoma NeuroSpecilaty Center,Tulsa,OK
6740021,from registered to nonregistered,Austin Lakes Hospital,Austin,TX
6740142,from registered to nonregistered,River Oaks Hospital,Houston,TX
6740247,from registered to nonregistered,Healthsouth Rehab Hospital,Odessa,TX
6740356,Newly added,El Paso LTAC Hospital,El Paso,TX
6740367,Newly added,North Cypress Medical Center,Cypress,TX
6740380,Newly added,Heart Hospital Baylor Plano,Plano,TX
6740382,Newly added,Apex Hospital-Katy,Katy,TX
6740384,Newly added,Harris Methodist Southlake,Southlake,TX
6740386,Newly added,Kingwood Specialty Hosp,Kingwood,TX
6740392,Newly added,Central Texas Rehab Hospital,Austin,TX
6740393,Newly added,Cook Children's NE Hospital,Hurst,TX
6740396,Newly added,Gulf States LTAC of Braunfels,New Braunfels,TX
6740399,Newly added,Integrity Transitional Hosp,Denton,TX
6740402,Newly added,Patients Medical Center,Pasadena,TX
6740404,Newly added,Solara Hospital Conroe,Conroe,TX
6740406,Newly added,Sugar Land Rehab Hospital,Sugar Land,TX
6740407,Newly added,Twin Creeks Rehab Hospital,Allen,TX
6860053,Newly added,Mountain Valley Reg Rehab Hosp,Prescott Valley,AZ
6860165,from registered to nonregistered,Banner Mesa Medical Center,Mesa,AZ
6910223,from registered to nonregistered,Deer Park Hospital,Deer Park,WA
