ID,REASON FOR DELETION,HOSPITAL NAME,CITY,STATE
6040395.0,STATUS CHANGED FROM NONREG TO REG,Hospital San Gerardo,SAN JUAN,PR
6210060.0,MERGED INTO 6210325,Brooklyn Children’s Psychiatric Center,Brooklyn,NY
6220025.0,CLOSED,Specialty Hospital at Monmouth,Long Branch,NJ
6230292.0,STATUS CHANGED FROM NONREG TO REG,Good Shepherd Penn Partners Specialty Hospital at Rittenhouse,PHILADELPHIA,PA
6230293.0,STATUS CHANGED FROM NONREG TO REG,Rothman Specialty Hospital,BENSALEM,PA
6340023.0,STATUS CHANGED FROM NONREG TO REG,Spotsylvania Regional Medical Center,FREDERICKSBURG,VA
6340149.0,STATUS CHANGED FROM NONREG TO REG,Stafford Hospital,STAFFORD,VA
6340237.0,STATUS CHANGED FROM NONREG TO REG,Rehabilitation Hospital of Southwest Virginia,BRISTOL,VA
6360029.0,STATUS CHANGED FROM NONREG TO REG,Carolinas Specialty Hospital,CHARLOTTE,NC
6370034.0,STATUS CHANGED FROM NONREG TO REG,Village Hospital,GREER,SC
6370035.0,STATUS CHANGED FROM NONREG TO REG,Mount Pleasant Hospital,MOUNT PLEASANT,SC
6390133.0,BEHAVIORAL HEALTH CENTER,Focus Healthcare of Florida,Cooper City,FL
6390405.0,STATUS CHANGED FROM NONREG TO REG,Sacred Heart Hospital on the Gulf,PORT ST JOE,FL
6410068.0,STATUS CHANGED FROM NONREG TO REG,Acuity Specialty Hospitals Ohio Valley,STEUBENVILLE,FL
6410071.0,CLOSED,Barix Clinics of Ohio,Groveport,OH
6410072.0,STATUS CHANGED FROM NONREG TO REG,University Pointe Surgical Hospital,WEST CHESTER,OH
6420068.0,STATUS CHANGED FROM NONREG TO REG,Monroe Hospital,BLOOMINGTON,IN
6420069.0,STATUS CHANGED FROM NONREG TO REG,Otis R. Bowen Center for Human Services,WARSAW,IN
6430139.0,STATUS CHANGED FROM NONREG TO REG,Kindred Hospital Peoria,PEORIA,IL
6450238.0,STATUS CHANGED FROM NONREG TO REG,Midwest Orthopedic Specialty Hospital,FRANKLIN,WI
6450243.0,STATUS CHANGED FROM NONREG TO REG,Wheaton Franciscan Healthcare - Franklin,FRANKLIN,WI
6520032.0,STATUS CHANGED FROM NONREG TO REG,Saint Thomas Hospital for Spinal Surgery,NASHVILLE,TN
6530018.0,CLOSED,Greil Memorial Psychiatric Hospital,Montgomery,AL
6540012.0,RESIDENTIAL TREATMENT FACILITY,Diamond Grove Center for Children and Adolescents,Louisville,MS
6630024.0,MERGED INTO 6630470,Saint Luke’s Cancer Institute,Kansas City,MO
6630029.0,STATUS CHANGED FROM NONREG TO REG,Saint Luke’s East Hospital,LEE’S SUMMIT,MO
6630041.0,STATUS CHANGED FROM NONREG TO REG,Mercy Rehabilitation Hospital,CHESTERFIELD,MO
6660010.0,STATUS CHANGED FROM NONREG TO REG,Nebraska Heart Hospital,LINCOLN,NE
6670037.0,MERGED INTO 6671170,Galichia Heart Hospital,Wichita,KS
6710022.0,CLOSED,Hot Springs Rehabilitation Center,Hot Springs National,AR
6720139.0,CLOSED,Beck Behavioral Hospital,Baton Rouge,LA
6720144.0,CLOSED,Rehabilitation Hospital of DeQuincy,Dequincy,LA
6720156.0,MERGED INTO 6720106,Evangeline Extended Care Hospital-Mamou,Mamou,LA
6720163.0,MERGED INTO 6720064,Iberia Extended Care Hospital,New Iberia,LA
6720193.0,MERGED INTO 6720064,Eunice Extended Care Hospital,Eunice,LA
6720208.0,CLOSED,Greater Baton Rouge Surgical Hospital,Baton Rouge,LA
6720214.0,MERGED INTO 6720018,Promise Hospital of Bossier City,Bossier City,LA
6720361.0,CLOSED,Stonewall Hospital,Stonewall,LA
6720364.0,STATUS CHANGED FROM NONREG TO REG,Compass Behavioral Center of Crowley,CROWLEY,LA
6720368.0,CLOSED,Oceans Specialty Hospital of Gretna,Gretna,LA
6730022.0,REHABILITATION FACILITY,Central Oklahoma Community Mental Health Center,Norman,OK
6730035.0,STATUS CHANGED FROM NONREG TO REG,Lakeside Women’s Hospital,OKLAHOMA CITY,OK
6730077.0,CLOSED,Oklahoma NeuroSpecialty Center,Tulsa,OK
6730197.0,MERGED INTO 6730640,Muskogee Community Hospital,Muskogee,OK
6730279.0,STATUS CHANGED FROM NONREG TO REG,St. John Broken Arrow,BROKEN ARROW,OK
6740076.0,CLOSED,Corpus Christi Specialty Hospital,Corpus Christi,TX
6740159.0,STATUS CHANGED FROM NONREG TO REG,Kindred Hospital-Bay Area,PASADENA,TX
6740248.0,STATUS CHANGED FROM NONREG TO REG,St. Luke’s The Woodlands Hospital,THE WOODLANDS,TX
6740264.0,STATUS CHANGED FROM NONREG TO REG,Texas Spine & Joint Hospital,TYLER,TX
6740265.0,STATUS CHANGED FROM NONREG TO REG,USMD Hospital at Arlington,ARLINGTON,TX
6740336.0,STATUS CHANGED FROM NONREG TO REG,University Behavioral Health of Denton,DENTON,TX
6740402.0,STATUS CHANGED FROM NONREG TO REG,St. Luke’s Patients Medical Center,PASADENA,TX
6740405.0,MERGED INTO 6740369,Solara Hospital Harlingen-Brownsville Campus,Brownsville,TX
6740418.0,STATUS CHANGED FROM NONREG TO REG,St. Luke’s Sugar Land Hospital,SUGAR LAND,TX
6740543.0,STATUS CHANGED FROM NONREG TO REG,St. Luke’s Lakeside Hospital,THE WOODLANDS,TX
6740549.0,STATUS CHANGED FROM NONREG TO REG,Seton Medical Center Hays,KYLE,TX
6740551.0,STATUS CHANGED FROM NONREG TO REG,Aspire Behavioral Health of Conroe,CONROE,TX
6740559.0,STATUS CHANGED FROM NONREG TO REG,ICON Hospital,HUMBLE,TX
6740655.0,STATUS CHANGED FROM NONREG TO REG,St. Luke’s Hospital at the Vintage,HOUSTON,TX
6743185.0,STATUS CHANGED FROM NONREG TO REG,Laurel Ridge Treatment Center,SAN ANTONIO,TX
6850024.0,STATUS CHANGED FROM NONREG TO REG,Lovelace Regional Hospital,ROSWELL,NM
6850026.0,MERGED INTO 6850390,Physicians Medical Center of Santa Fe Hospital,Santa Fe,NM
6860027.0,STATUS CHANGED FROM NONREG TO REG,West Valley Hospital,GOODYEAR,AZ
6860179.0,CLOSED,Florence Community Healthcare,Florence,AZ
6879346.0,STATUS CHANGED FROM NONREG TO REG,Blue Mountain Hospital,BLANDING,UT
6880028.0,CLOSED,Rehabilitation Institutes of Nevada,Las Vegas,NV
6880034.0,SKILLED NURSING FACILITY,Vegas Valley Rehabilitation Hospital,Las Vegas,NV
6910605.0,STATUS CHANGED FROM NONREG TO REG,Group Health Cooperative Central Hospital,SEATTLE,WA
6919096.0,STATUS CHANGED FROM NONREG TO REG,Swedish/Issaquah,ISSAQUAH,WA
6930271.0,STATUS CHANGED FROM NONREG TO REG,Kindred Hospital of Riverside,PERRIS,CA
6932811.0,STATUS CHANGED FROM NONREG TO REG,Sharp Mesa Vista Hospital,SAN DIEGO,CA
