ID,REASON FOR ADDITION,HOSPITAL NAME,CITY,STATE
6340017,Previously listed as registered,Snowden at Fredericksburg,Fredericksburg,VA
6370034,Newly added,Village Hospital,Greer,SC
6410208,Newly added,Advanced Speciality Hospital,Toledo,OH
6420189,System ID change-formerly 6420087,Regional Mental Health Center,Merrillville,IN
6450014,Reopened,Charter Behavioral Health System,West Allis,WI
6520169,System ID change-formerly 6520050,Rolling Hills Hospital,Franklin,TN
6530210,Newly added,Beacon Children's Hospital,Luverne,AL
6530211,Newly added,Baypointe Behavioral Health,Mobile,AL
6530212,Newly added,Infirmary Long Term Acute Care,Mobile,AL
6630176,Newly added,Landmark Hospital of Columbia,Columbia,MO
6710159,Newly added,Baptist Health Extended Care Hosp,Little Rock,AR
6710161,Newly added,Ozarks Community Health,Gravette,AR
6720361,Newly added,Stonewall Hospital,Stonewall,LA
6720362,System ID change-formerly 6720216,Bethesda Rehab Hospital,Baton Rouge,LA
6720363,System ID change-formerly 6720218,Magnolia Behavioral Healthcare,Bogalusa,LA
6720364,System ID change-formerly 6720219,Compass Behavioral Hospital of De Ridder,Crowley,LA
6720367,System ID change-formerly 6720220,Oceans Behavioral Hospital of De Ridder,De Ridder,LA
6720368,System ID change-formerly 6720221,Meadowcrest Specialty Hospital,Gretna,LA
6720369,System ID change-formerly 6720222,Physicians Alliance Hosp of Houma,Houma,LA
6720371,System ID change-formerly 6720223,Jennings Senior Care Hospital,Jennings,LA
6720372,System ID change-formerly 6720224,Rehab Hospital of Jennings,Jennings,LA
6720373,System ID change-formerly 6720226,Louisiana Extended Care Hosp of Kenner,Kenner,LA
6720374,System ID change-formerly 6720227,Oceans Behavioral Hospital of Kentwood,Kentwood,LA
6720377,System ID change-formerly 6720228,Lafayette Physical Rehab,Lafayette,LA
6720379,System ID change-formerly 6720229,Optima Specialty Hospital,Lafayette,LA
6720381,System ID change-formerly 6720233,Lake Charles Memorial Hospital,Lake Charles,LA
6720383,System ID change-formerly 6720234,Oceans Behavioral of Lake Charles,Lake Charles,LA
6720384,System ID change-formerly 6720236,Doctor's Hospital of Deer Creek,Deer Creek,LA
6720386,System ID change-formerly 6720240,Iberia Rehab Hospital,New Iberia,LA
6720387,System ID change-formerly 6720242,Pyschiatric Pavilion New Orleans,New Orleans,LA
6720389,System ID change-formerly 6720249,Oceans Behavioral Hospital of Opelousas,Opelousas,LA
6720391,System ID change-formerly 6720251,Allegiance Health Center of Ruston,Ruston,LA
6720393,System ID change-formerly 6720256,Specialists Hospital-Shreveport,Shreveport,LA
6720403,System ID change-formerly 6720262,Physicians Behavioral Hospital,Shreveport,LA
6730197,Newly added,Muskogee Community Hospital,Muskogee,OK
6740116,Previously listed as registered,Houston Hospital for Specialized Surgery,Houston,TX
6740159,Previously listed as registered,Kindred Hospital-Bay Area,Pasadena,TX
6740418,Newly added,St Luke's Sugar Land Hospital,Sugar Land,TX
6740543,Newly added,St Luke's Lakeside Hospital,The Woodlands,TX
6740547,Newly added,South Texas Surgical Hospital,Corpus Christi,TX
6740548,Newly added,Acuity Hospital of Houston,Houston,TX
6740550,Newly added,Texas Regional Medical Center,Sunnyvale,TX
6740552,Newly added,BCA Permian Basin,Midland,TX
6740553,Newly added,Forest Park Medical Center,Dallas,TX
6740554,Newly added,Reliant Reahb Hospital Abilene,Abilene,TX
6810122,change-formerly 6810012,Advanced Care Hospital of Montana,Billings,MT
6830069,change-formerly 6830003,Mountain View Regional Hospital,Casper,WY
6920051,change-formerly 6920012,Sacred Heart Medical Center at RiverBend,Springfield,OR
