ID,HOSPITAL NAME,CITY,STATE,REASON FOR DELETION
6160350,Milford Hospital,Milford,CT,"Merged into 6160002 Bridgeport Hospital Bridgeport, CT"
6210050,Albany Memorial Hospital,Albany,NY,"Merged into 6214990 Samaritan Hospital Troy, NY"
6211540,St. Joseph's Hospital,Elmira,NY,"Merged into 6211510 Arnot Ogden Medical Center Elmira, NY"
6211770,Stony Brook Eastern Long Island Hospital,Greenport,NY,"Merged into 6214775 Stony Brook University Hospital Stony Brook, NY"
6212450,NYU Winthrop Hospital,Mineola,NY,"Merged into 6212925 NYU Langone Hospitals New York, NY"
6220022,CareOne at Raritan Bay Medical Center,Perth Amboy,NJ,Closed
6230083,LifeCare Hospitals of Chester County,West Chester,PA,Closed
6230200,Bradford Regional Medical Center,Bradford,PA,"Merged into 6210009 Olean General Hospital Olean, NY"
6230506,Kirkbride Center,Philadelphia,PA,Substance Abuse Center
6230720,"Ellwood City Medical Center, LLC",Ellwood City,PA,Closed
6231140,UPMC Pinnacle Lancaster,Lancaster,PA,Closed
6231890,Hahnemann University Hospital,Philadelphia,PA,Closed
6232200,Kindred Hospital South Philadelphia,Philadelphia,PA,Closed
6233200,UPMC Susquehanna Sunbury,Sunbury,PA,Closed
6233485,UPMC Susquehanna Divine Providence Campus,Williamsport,PA,"Merged into 6233500 UPMC Williamsport Williamsport, PA"
6320440,McCready Health,Crisfield,MD,"Merged into 6320785 TidalHealth Peninsula Salisbury, MD"
6322080,Adventist Healthcare Washington Adventist Hospital,Takoma Park,MD,Temporarily inactive unit
6341220,Hallmark Youthcare - Richmond,Richmond,VA,Behavioral Health Center
6350070,Bluefield Regional Medical Center,Bluefield,WV,Emergency Urgent Care Center
6350300,Fairmont Regional Medical Center,Fairmont,WV,Closed
6350820,Ohio Valley Medical Center,Wheeling,WV,Closed
6350840,Williamson Memorial Hospital,Williamson,WV,Closed
6360825,Atrium Health Kings Mountain,Kings Mountain,NC,"Merged into 6361370 Atrium Health Cleveland Shelby, NC"
6369137,Strategic Behavioral Health - Charlotte,Charlotte,NC,Closed
6380036,Kindred Hospital Rome,Rome,GA,Closed
6380260,University Hospital Summerville,Augusta,GA,"Merged into 6380270 University Hospital Augusta, GA"
6390128,The Centers,Ocala,FL,Behavioral Health Center
6390450,Shands Lake Shore Regional Medical Center,Lake City,FL,Closed
6390498,Shands Live Oak Regional Medical Center,Live Oak,FL,Urgent Care Center
6390995,Shands Starke Regional Medical Center,Starke,FL,Urgent Care Center
6391128,JFK Medical Center North Campus,West Palm Beach,FL,"Merged into 6390074 JFK Medical Center Atlantis, FL"
6391146,Regional General Hospital,Williston,FL,Closed
6410076,Ten Lakes Center,Dennison,OH,Closed
6410576,Cambridge Behavioral Hospital,Cambridge,OH,Closed
6411660,East Ohio Regional Hospital,Martins Ferry,OH,Closed
6412110,ProMedica Flower Hospital,Sylvania,OH,"Merged into 6412180 Promedica Toledo Hospital Toledo, OH"
6420210,Fayette Regional Health System,Connersville,IN,Closed
6420285,Vibra Hospital of Fort Wayne,Fort Wayne,IN,Closed
6420290,Deaconess Gateway Hospital,Newburgh,IN,"Merged into 6420320 Deaconess Midtown Hospital Evansville, IN"
6430270,MetroSouth Medical Center,Blue Island,IL,Closed
6430640,Chicago Lakeshore Hospital,Chicago,IL,Closed
6432200,Westlake Hospital,Melrose Park,IL,Closed
6450016,Post Acute Medical Specialty Hospital of Milwaukee,Greenfield,WI,Closed
6450024,LifeCare Hospitals of Wisconsin,Pewaukee,WI,Closed
6450029,Columbia Center Birth Hospital,Mequon,WI,Closed
6510042,Our Lady of Bellefonte Hospital,Ashland,KY,Closed
6520320,Greeneville Community Hospital East,Greeneville,TN,"Merged into 6520340 Greenville Community Hospital East Greenville, TN"
6520455,Ten Broeck Tennessee Treatment Facility,Cookeville,TN,Closed
6520935,Saint Thomas Midtown Hospital,Nashville,TN,"Merged into 6521040 Saint Thomas West Hospital Nashville, TN"
6521111,Decatur County General Hospital,Parsons,TN,Closed
6539015,Pickens County Medical Center,Carrollton,AL,Closed
6610001,Phillips Eye Institute,Minneapolis,MN,"Merged into 6610815 Abbott Northwestern Hospital Minneapolis, MN"
6611800,Mayo Clinic Health System in Springfield,Springfield,MN,Closed
6620410,UnityPoint Health-Iowa Lutheran Hospital,Des Moines,IA,"Merged into 6620420 UnityPoint Health-Iowa Methodist Medical Center Des Moines, IA"
6621200,Sanford Rock Rapids Medical Center,Rock Rapids,IA,Closed
6630027,Select Specialty Hospital-Western Missouri,Kansas City,MO,Closed
6630040,Pinnacle Regional Hospital,Boonville,MO,Closed
6630410,Two Rivers Behavioral Health System,Kansas City,MO,Closed
6670467,Blue Valley Hospital,Overland Park,KS,Emergency Care Center
6671080,Sumner Community Hospital,Wellington,KS,Closed
