ID,REASON FOR DELETION,HOSPITAL NAME,CITY,STATE
6040270.0,Closed,Hospital Episcopol San Lucas,Ponce,PR
6140645.0,Merged into 6140570,Brockton VA Medical Center,Brockton,MA
6212720.0,Inpatient care other than hospital (hospice),Cabrini Medical Center,New York,NY
6220440.0,Status changed from registered to nonregistered,LibertyHealth-Greenville Hospital,Jersey City,NJ
6220760.0,Merged into 6220890,Columbus Hospital,Newark,NJ
6220880.0,Outpatient,Saint James Hospital of Newark,Newark,NJ
6221090.0,Closed,Barnert Hospital,Paterson,NJ
6221528.0,Closed,Union Hospital,Union,NJ
6221618.0,Closed,Pasack Valley Hospital,Westwood,NJ
6230056.0,Status changed from registered to nonregistered,Temple Univ Children's Med Center,Philadelphia,PA
6232330.0,Outpatient,Willis Eye Hospital,Philadelphia,PA
6233305.0,Outpatient,Warminster Hospital,Warminster,PA
6340045.0,Closed,Northern Virginia Comm Hosp,Arlington,VA
6340250.0,Outpatient,McDonald Army Comm Hosp,Fort Eustis,VA
6350670.0,Status changed from registered to nonregistered,Richwood Area Comm Hosp,Richwood,WV
6360345.0,Outpatient,Naval Hospital,Cherry Point,NC
6370155.0,Outpatient,Midlands Center,Columbia,SC
6370200.0,Status changed from registered to nonregistered,South Carolina State Hospital,Columbia,SC
6370490.0,Outpatient,Naval Hospital,North Charleston,SC
6390013.0,Merged into 6390573,Jackson North Medical Center,North Miami Beach,FL
6390195.0,Merged into 6390230,North Ridge Medical Center,Fort Lauderdale,FL
6390260.0,Merged into 6390283,Shands AGH,Gainesville,FL
6390271.0,Merged into 6390283,Shands Rehab Hospital,Gainesville,FL
6390560.0,Merged into 6390573,Jackson South Comm Hospital,Miami,FL
6410330.0,Closed,Windsor Hospital,Chagrin Falls,OH
6420005.0,Demerged-Merger dissolved -6420605&6420728&6420008,Community Health Network,Indianapolis,IN
6420010.0,Closed,Healthsouth Hospital,Terre Haute,IN
6420028.0,Closed,St Elizabeth Ann Seton Hosp,Evansville,IN
6430820.0,Outpatient,Naval Hospital,Great Lakes,IL
6440525.0,Outpatient,St John Detroit Riverview Hosp,Detroit,MI
6441675.0,Merged into 6440027,Michigan Ortho Specialty Hosp,Madison Heights,MI
6540003.0,Status changed from registered to nonregistered,Gulf Coast Medical Center,Biloxi,MS
6631125.0,Merged into 6630995,SSM Rehab,Saint Louis,MO
6631340.0,Outpatient,Med Center for Fed Prisoners,Springfield,MO
6650240.0,Inpatient care other than hospital (Nursing Home),Five Counties Hospital,Lemmon,SD
6650434.0,Outpatient,PHS Indian Hospital,Sisseton,SD
6660365.0,Merged into 6660002,Richard H Young Hospital,Kearney,NE
6720096.0,Closed,Acadia Rehab Hospital,Crowley,LA
6720455.0,Merged into 6720460,St Francis North Hospital,Monroe,LA
6730106.0,Merged into 6731215,St Francis Hospital South,Broken Arrow,OK
6730945.0,Closed,Pawnee Municipal Hospital,Pawnee,OK
6740021.0,Status changed from registered to nonregistered,Austin Lakes Hospital,Austin,TX
6740051.0,Merged to form 6740415,North Central Baptist Hospital,San Antonio,TX
6740081.0,Merged into 6741315,Las Palmas Rehab Hospital,El Paso,TX
6740142.0,Status changed from registered to nonregistered,River Oaks Hospital,Houston,TX
6740247.0,Status changed from registered to nonregistered,Healthsouth Rehab Hospital,Odessa,TX
6741310.0,Closed,Southwestern General Hospital,El Paso,TX
6741455.0,Merged into 6741390,Baylor Medical Center,Fort Worth,TX
6741969.0,Merged to form 6740413,Doctors Hospital Parkway,Houston,TX
6742215.0,Closed,Medical Center at Lancaster,Lancaster,TX
6743005.0,Merged to form 6740415,Baptist Medical Center,San Antonio,TX
6743010.0,Merged to form 6740415,Northeast Baptist Hospital,San Antonio,TX
6743015.0,Merged to form 6740415,Southeast Baptist Hospital,San Antonio,TX
6743035.0,Merged to form 6740415,St Luke's Baptist Hospital,San Antonio,TX
6743147.0,Closed,Dolly Vinsant Mem Hospital,San Benito,TX
6749310.0,Merged to form 674043,Doctors Hospital-Tidwell,Houston,TX
6850020.0,Outpatient,PHS Indian Hospital,Albuquerque,NM
6850270.0,Merged to form 6850037,Carrie Tingley Hospital,Albuquerque,NM
6860162.0,Closed,Mesa General Hospital,Mesa,AZ
6860165.0,Status changed from registered to nonregistered,Banner Mesa Medical Center,Mesa,AZ
6880080.0,Outpatient,Owyhee Community Health Facility,Owyhee,NV
6910223.0,Status changed from registered to nonregistered,Deer Park Hospital,Deer Park,WA
6930800.0,Merged into 6930790,University Medical Center,Fresno,CA
6931060.0,Closed,Centinela Freeman Med Center,Inglewood,CA
6931788.0,Merged into 6932470,Eastern Plumas Health Care,Loyalton,CA
6933386.0,Merged into 6933375,Rehab Inst at Santa Barbara,Santa Barbara,CA
6933896.0,Outpatient,Public Health Service Indian Hosp,Winterhaven,CA
6938521.0,Outpatient,LAC-Martin Luther King Hosp,Los Angeles,CA
