ID,HOSPITAL NAME,CITY,STATE,REASON FOR ADDITION
6140221.0,Walden Psychiatric Care,Waltham,MA,Newly added
6230455.0,Physicians Care Surgical Hospital,Royersford,PA,Newly added
6230515.0,Einstein Medical Center Montgomery,East Norriton,PA,Newly added
6230516.0,Coordinated Health-Bethlehem,Bethlehem,PA,Newly added
6230517.0,UPMC East,Monroeville,PA,Newly added
6340225.0,Center for Restorative Care and Rehabilitation,Lynchburg,VA,Newly added
6340425.0,Riverside Doctors’ Hospital,Williamsburg,VA,Newly added
6359121.0,Highland-Clarksburg Hospital,Clarksburg,WV,Newly added
6380258.0,Roosevelt Warm Springs LTAC Hospital,Warm Springs,GA,Newly added
6390407.0,West Florida Community Care Center,Milton,FL,Newly added
6390408.0,Central Florida Behavioral Hospital,Orlando,FL,Newly added
6390418.0,Port St. Lucie Hospital,Port St Lucie,FL,Newly added
6399249.0,Park Royal Hospital,Fort Myers,FL,Newly added
6399250.0,HEALTHSOUTH Rehabilitation Hospital of Ocala,Ocala,FL,Newly added
6399251.0,HEALTHSOUTH Rehabilitation Hospital at Martin Health,Stuart,FL,Newly added
6410523.0,Haven Behavioral Senior Care of Dayton,Dayton,OH,Newly added
6410524.0,Dublin Springs,Dublin,OH,Newly added
6420289.0,Grant-Blackford Mental Health Center,Marion,IN,Newly added
6420441.0,Franciscan St. Elizabeth Health - Lafayette East,Lafayette,IN,Newly added
6420483.0,Lafayette Regional Rehabilitation Hospital,Lafayette,IN,Newly added
6520455.0,Ten Broeck Tennessee Treatment Facility,Cookeville,TN,Newly added
6540416.0,Methodist Olive Branch Hospital,Olive Branch,MS,Newly added
6720497.0,Oceans Behavioral Hospital of Baton Rouge,Baton Rouge,LA,Newly added
6730281.0,Pinnacle Specialty Hospital,Tulsa,OK,Newly added
6730460.0,Mercy Rehabilitation Hospital Oklahoma City,Oklahoma City,OK,Newly added
6740229.0,Cornerstone Hospital of Houston at Clearlake,Webster,TX,Newly added
6740919.0,Texas Health Harris Methodist Hospital Alliance,Fort Worth,TX,Newly added
6740947.0,Westside Surgical Hospital,Houston,TX,Newly added
6740956.0,Victory Medical Center Plano,Plano,TX,Newly added
6740957,Victory Medical Center Beaumont,Beaumont,TX,Newly added
6740975,Austin Oaks Hospital,Austin,TX,Newly added
6740976,Scott & White Emergency Hospital- Cedar Park,Cedar Park,TX,Newly added
6840429,HEALTHSOUTH Rehabilitation Hospital of Denver,Littleton,CO,Newly added
6850396,UNM Sandoval Regional Medical Center,Rio Rancho,NM,Newly added
6860437,Haven Senior Horizons,Phoenix,AZ,Newly added
6860454,Freedom Pain Hospital,Scottsdale,AZ,Newly added
6869153,Windhaven Psychiatric Hospital,Prescott Valley,AZ,Newly added
6870372,Lone Peak Hospital,Draper,UT,Newly added
6920434,Kaiser Foundation Hospital Westside Medical Center,Hillsboro,OR,Newly added
6930409,Loma Linda University Medical Center-Murrieta,Murrieta,CA,Newly added
6930417,Kaiser Permanente Ontario Medical Center,Ontario,CA,Newly added
6930673,Humboldt County Mental Health,Eureka,CA,Newly added
