ID,HOSPITAL NAME,CITY,STATE,REASON FOR ADDITION
6040391.0,Hospital Menonita De Caguas,Caguas,PR,Newly added
6040396.0,Hospital San Antonio,Mayaguez,PR,Newly added
6040397.0,Hospital de Psiquiatria Forense,Ponce,PR,Newly added
6048008.0,Hospital Psiquiatrico Correccional,San Juan,PR,Newly added
6048009.0,Centro de Trauma,Moca,PR,Newly added
6080001.0,Commonwealth Health Center,Saipan,MP,Newly added
6141450.0,Beth Israel Deaconess Hospital-Needham Campus,Needham,MA,Formerly unit of 6140013 (Beth Israel Deaconess Med Center)
6220469.0,Cornerstone Behavioral Health Hospital of Union County,Berkeley Heights,NJ,Newly added
6221340.0,Robert Wood Johnson University Hospital Somerset,Somerville,NJ,Newly added
6230287.0,Pennsylvania Psychiatric Institute,Harrisburg,PA,Newly added
6230505.0,Advanced Surgical Hospital,Washington,PA,Newly added
6230538.0,Helen M. Simpson Rehabilitation Hospital,Harrisburg,PA,Newly added
6320391.0,Holy Cross Germantown Hospital,Germantown,MD,Newly added
6349173.0,The Pavilion at Williamsburg Place,Williamsburg,VA,Newly added
6360439.0,Carolinas ContinueCARE Hospital at Kings Mountain,Kings Mountain,NC,Newly added
6369135.0,Strategic Behavioral Health - Raleigh,Garner,NC,Newly added
6369136.0,Strategic Behavioral Health - Wilmington,Leland,NC,Newly added
6369137.0,Strategic Behavioral Health - Charlotte,Charlotte,NC,Newly added
6380257.0,SummitRidge Hospital,Lawrenceville,GA,Newly added
6380497.0,Northeast Georgia Medical Center Braselton,Braselton,GA,Newly added
6380498.0,Landmark Hospital of Savannah,Savannah,GA,Newly added
6381200.0,Greenleaf Center,Valdosta,GA,Newly added
6389228.0,Emory Rehabilitation Hospital,Atlanta,GA,Newly added
6390711.0,North Florida/South Georgia Veteran's Health System,Gainesville,FL,Previously classified as registered
6390713.0,Landmark Hospital of Southwest Florida,Naples,FL,Newly added
6390714.0,Healthsouth Rehabilitation Hospital of Altamonte Springs,Altamonte Springs,FL,Newly added
6390716.0,Promise Hospital of Miami,Miami,FL,Newly added
6399253.0,Select Specialty Hospital Daytona Beach,Daytona Beach,FL,Newly added
6399254.0,Promise Hospital of Fort Myers,Fort Myers,FL,Newly added
6399255.0,North Tampa Behavioral Health,Wesley Chapel,FL,Newly added
6410522.0,Summa Rehab Hospital,Akron,OH,Newly added
6410545.0,Select Specialty Hospital - Boardman,Boardman,OH,Newly added
6410558.0,King's Daughters Medical Center Ohio,Portsmouth,OH,Newly added
6410559.0,Cleveland Clinic Rehabilitation Hospital,Avon,OH,Newly added
6429154.0,NorthEastern Center,Auburn,IN,Newly added
6430447.0,Garfield Park Hospital,Chicago,IL,Newly added
6520009.0,Quillen Rehabilitation Hospital,Johnson City,TN,Newly added
6520456.0,TrustPoint Hospital,Murfreesboro,TN,Newly added
6520471.0,Baptist Memorial Rehabilitation Hospital,Germantown,TN,Newly added
6521093.0,Pioneer Community Hospital of Scott,Oneida,TN,Newly added
6529208.0,Regional One Health Extended Care Hospital,Memphis,TN,Newly added
